"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009913","GO:0009913","epidermal cell differentiation","85/3041","191/18842",0.445026178010471,2.75737693063903,10.7089882473891,1.55287940984756e-20,8.30084629991242e-18,8.30084629991242e-18,"388697/643414/124842/8689/374454/6704/196374/353137/360/6701/3853/3851/51350/338785/247/110806278/5266/121391/84648/3713/29986/344167/80736/353139/1001/5357/7062/9935/125981/254910/353132/2069/5308/353145/3852/4014/353133/8456/10083/2627/3887/112802/6703/1475/6707/9119/3888/3890/9573/182/204219/25818/2312/7051/84518/6699/1832/353131/2118/3854/3891/286887/3848/8796/6698/3868/10626/50604/5317/3889/3861/643418/3858/3784/163778/353135/2810/6278/6706/5017/11005/3850/353142/23581/6705",85
"GO:0030317","GO:0030317","flagellated sperm motility","90/3041","217/18842",0.414746543778802,2.56976467539631,10.2031477680414,3.66250787123536e-19,1.65658048329722e-16,1.65658048329722e-16,"7802/79820/23639/83853/150483/257062/115948/8701/374407/80217/257177/26150/8382/122664/55036/1767/388701/135138/286464/55329/374739/115811/79925/84071/26074/145788/202500/158787/89765/6870/27019/219670/79781/154865/152015/93233/80258/146845/26140/389799/139212/127003/85478/151651/10233/159686/129881/114327/92749/199223/27285/138255/90506/4184/27156/143241/64518/255101/147700/642987/201625/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/339778/255411/79846/138162/222235/83450/84688/83538/134121/64147/64800/154313/84217/84229/57119",90
"GO:0097722","GO:0097722","sperm motility","90/3041","217/18842",0.414746543778802,2.56976467539631,10.2031477680414,3.66250787123536e-19,1.65658048329722e-16,1.65658048329722e-16,"7802/79820/23639/83853/150483/257062/115948/8701/374407/80217/257177/26150/8382/122664/55036/1767/388701/135138/286464/55329/374739/115811/79925/84071/26074/145788/202500/158787/89765/6870/27019/219670/79781/154865/152015/93233/80258/146845/26140/389799/139212/127003/85478/151651/10233/159686/129881/114327/92749/199223/27285/138255/90506/4184/27156/143241/64518/255101/147700/642987/201625/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/339778/255411/79846/138162/222235/83450/84688/83538/134121/64147/64800/154313/84217/84229/57119",90
"GO:0001578","GO:0001578","microtubule bundle formation","61/3041","122/18842",0.5,3.09799408089444,10.1988017552524,3.52878596551091e-18,1.48209010551458e-15,1.48209010551458e-15,"136332/23639/115948/374407/80217/54777/146754/55036/89876/1767/161582/286464/27148/25876/55329/152206/79925/84071/123872/145788/6101/1641/89765/126820/827/27019/345895/93233/56171/2302/284076/26140/139212/344148/79864/85478/146562/10233/159686/54768/92749/246176/255101/387885/201625/286207/164781/352909/55130/8632/79846/138162/51673/83538/51364/154313/348807/85452/79819/84217/84229",61
"GO:0007586","GO:0007586","digestion","60/3041","122/18842",0.491803278688525,3.04720729268306,9.9519162232717,1.84708295044337e-17,7.240565165738e-15,7.240565165738e-15,"3315/362/1646/150/4583/1582/2169/340547/6523/7429/4880/3274/5225/1128/497189/6476/948/5357/64240/9075/7032/3952/387129/1645/6779/4986/4762/340204/4588/56667/64127/6750/6518/10753/7033/57482/115111/29881/5950/5645/5644/6662/90226/5646/114131/7031/1131/8544/1208/1118/56287/389383/64241/9843/64081/339221/3784/1056/6343/8856",60
"GO:0002449","GO:0002449","lymphocyte mediated immunity","116/3041","339/18842",0.342182890855457,2.12016114090711,9.13013450608831,1.53839149350727e-16,5.65358873863922e-14,5.65358873863922e-14,"116449/2625/930/7855/51311/7040/2529/28391/353091/3553/80328/1380/28467/712/6375/3822/127943/970/28414/722/3500/11006/4818/729/50615/7305/28394/28468/387837/3503/151888/913/2207/2213/914/3002/28401/3952/114836/201633/28410/28423/28458/3502/28457/2302/2208/735/30009/10870/100423062/28439/3569/3823/725/28434/2214/59067/713/57289/28466/5551/56253/182/64005/28445/11151/28424/135250/3581/10859/3821/28454/114548/3902/100431172/28400/91543/716/2209/28464/714/909/729230/57823/28388/2205/563/941/84174/3805/1604/102723169/28461/154064/84868/10125/925/29126/28408/6318/28385/924/3592/3811/8302/718/3560/3824/81607/8741/28442/2212/715/102723168/387836",116
"GO:0002443","GO:0002443","leukocyte mediated immunity","137/3041","429/18842",0.319347319347319,1.97867221017501,8.99542163202815,1.99850689253056e-16,6.91248266357627e-14,6.91248266357627e-14,"116449/2625/930/1636/2770/7855/51311/7040/2529/28391/353091/3553/64581/80328/1380/28467/3383/712/6375/3822/127943/970/28414/722/3500/11006/4818/729/50615/7305/28394/28468/1511/387837/1113/3503/5319/151888/913/2207/2213/914/3002/28401/3952/114836/201633/5293/28410/28423/28458/3502/28457/2302/2208/735/30009/10870/10814/100423062/28439/3569/3823/725/28434/2214/64127/59067/713/117194/1524/1776/57289/28466/6688/5551/56253/387695/182/64005/28445/11151/28424/135250/3581/10859/3821/28454/114548/5443/3902/100431172/28400/57126/91543/716/2209/6863/28464/714/909/729230/57823/11314/28388/2205/563/941/84174/3805/1604/102723169/28461/154064/84868/10125/925/29126/28408/6318/28385/924/3592/3811/8302/718/3560/3824/81607/54210/8741/28442/2212/715/102723168/387836/140",137
"GO:0042445","GO:0042445","hormone metabolic process","85/3041","219/18842",0.388127853881279,2.40483558790893,9.17361763863883,4.32651369874881e-16,1.41332780825794e-13,1.41332780825794e-13,"54657/53630/216/2625/8854/1636/125/5972/1646/7367/145226/2494/441282/57016/1592/1511/51170/2690/1803/130/1559/6567/1645/1565/6716/15/54577/6469/5122/9060/8608/25825/1735/54600/121214/50506/2304/54361/115111/1428/54576/1589/133/54578/5950/5443/51083/6715/6822/7364/6121/54658/79644/8912/131/90527/29785/54905/7849/3283/5959/339761/1577/1586/4224/389434/3249/1109/1066/3292/1056/290/7173/1588/6528/1583/7366/54490/27284/2784/51200/220/4311/6770/124",85
"GO:0045109","GO:0045109","intermediate filament organization","42/3041","74/18842",0.567567567567568,3.51664192966396,9.51581935366855,1.68936668792673e-15,5.22814532895221e-13,5.22814532895221e-13,"8689/374454/196374/342574/3853/3851/51350/338785/8687/121391/8688/4747/54474/7062/3884/3857/3872/3866/3852/4741/3887/112802/9119/3888/3890/3885/192666/3860/1832/3854/3891/3881/286887/3848/3868/3882/5317/3883/3889/3861/3858/3850",42
"GO:0006959","GO:0006959","humoral immune response","102/3041","296/18842",0.344594594594595,2.13510402872455,8.63523758909735,6.21923384514956e-15,1.82845475047397e-12,1.82845475047397e-12,"56832/3078/5473/81623/26525/6366/5450/6352/6346/10563/3853/6356/1755/3553/283/6372/1380/6359/6039/712/6375/5967/6280/124976/3507/7018/6037/722/3500/729/6283/1511/2921/56477/5225/57115/3503/5266/5319/280664/931/6374/2213/3273/3502/3458/6779/2302/735/6355/3569/725/6363/4922/1673/10578/671/2627/713/4283/4852/629/922/3627/85480/114771/10878/25818/133/10406/5645/5443/10344/128822/5646/716/6863/6351/6038/6700/714/10148/6370/3848/149708/1604/6846/3003/5650/6367/718/128488/1236/4879/6278/54210/6373/84659/730249/11005/715/6590",102
"GO:0001906","GO:0001906","cell killing","86/3041","238/18842",0.361344537815126,2.2388864786296,8.4379068064395,3.88524548111365e-14,1.08786873471182e-11,1.08786873471182e-11,"115362/5473/6366/7040/353091/6346/10563/3853/6356/80328/3383/6375/3822/3500/4818/729/7305/6283/1511/2921/56477/387837/1113/57115/913/2999/2213/914/3002/3952/114836/201633/6779/735/6355/5320/10870/3001/3823/6363/4922/1673/10578/2214/59067/4283/1524/1776/6688/5551/3627/56253/114771/11151/135250/10859/2633/3821/5443/100431172/2209/2634/6863/909/57823/6370/563/3805/1604/154064/84868/10125/6318/3592/3811/6367/8302/4879/3824/81607/54210/6373/84659/2212/353142/387836",86
"GO:0007018","GO:0007018","microtubule-based movement","146/3041","496/18842",0.294354838709677,1.82381909601044,8.15680155531738,4.08983206183716e-14,1.09310056925466e-11,1.09310056925466e-11,"7802/79820/22906/196385/3315/23639/83853/9638/150483/257062/115948/8701/374407/80217/257177/54777/408/26150/8382/122664/146754/55036/89876/1767/80199/388701/161582/135138/286464/25876/150082/55329/374739/115811/79925/9531/84071/123872/26074/145788/1770/202500/23303/158787/4747/89765/126820/6870/27019/219670/345895/79781/64284/547/361/154865/152015/9823/93233/56171/152110/5991/80258/146845/3834/8120/284076/26140/55638/389799/139212/4130/127003/85478/221458/151651/10233/159686/343521/129881/54768/53340/9576/114327/92749/199223/27285/138255/90506/246176/4184/27156/143241/667/64518/255101/387885/147700/642987/201625/200373/286207/79816/26206/144535/144406/79730/338879/83659/219681/164781/6863/25790/146279/55130/93190/8632/339778/1768/255411/79846/138162/6103/9001/5874/222235/83450/66000/118491/84688/83538/134121/83894/113220/30850/64147/64800/4117/51566/154313/348807/23299/79819/84217/84229/57119",146
"GO:0019730","GO:0019730","antimicrobial humoral response","72/3041","189/18842",0.380952380952381,2.36037644258624,8.24581445134657,2.27422255184426e-13,5.81409939341055e-11,5.81409939341055e-11,"5473/81623/26525/6366/6352/6346/10563/3853/6356/1755/283/6372/6359/6039/6375/5967/6280/3507/7018/6037/3500/6283/1511/2921/56477/5225/57115/3503/5266/5319/280664/6374/3273/3502/6779/6355/6363/4922/1673/10578/671/2627/4283/4852/3627/85480/114771/25818/133/10406/5645/5443/10344/128822/5646/6863/6351/6038/6700/6370/149708/6846/5650/6367/128488/4879/6278/6373/84659/730249/11005/6590",72
"GO:0003002","GO:0003002","regionalization","86/3041","247/18842",0.348178137651822,2.15730761908439,8.03187786583096,4.30058117510904e-13,1.05364238790171e-10,1.05364238790171e-10,"140628/23639/7855/115948/8701/4851/9241/7479/5649/4909/55036/4091/6496/1767/712/161582/3205/123872/145788/497189/27019/6862/219670/4188/4036/64321/2348/1482/7490/2626/3549/6469/5991/2302/3216/146845/4762/5308/55502/1045/5460/3219/65009/22943/649/658/388585/54626/8313/51676/5523/3670/6997/10637/3213/80319/5076/3955/6495/121643/55897/3221/134701/1832/79365/164781/25790/7482/55130/3222/92129/23242/7849/138162/3237/10409/3215/153572/3170/83538/718/8557/23432/148345/57453/27023",86
"GO:0002009","GO:0002009","morphogenesis of an epithelium","102/3041","316/18842",0.322784810126582,1.99997086234958,7.86426166612394,6.85518500339183e-13,1.61233951279776e-10,1.61233951279776e-10,"55966/2625/8689/219736/2697/7040/342574/9788/4851/9241/3853/81029/55036/441478/80199/3678/94134/6664/3976/8687/123872/8688/23616/55612/6299/3934/4036/54474/64321/2348/1482/3884/7490/5293/2626/7080/8399/1436/3549/3857/3872/6469/4609/3866/5420/90102/65009/7124/43847/8456/112802/65266/388585/2304/51676/64065/186/3627/4321/1823/9955/4867/10413/3885/5076/192666/6662/6495/3860/121643/9353/55897/183/960/655/388698/6943/9024/3881/23242/7849/116844/3237/4478/4070/3868/85474/407006/3882/57822/3883/153572/84446/5314/3861/8557/3858/401720/10630/9953/1839/6423",102
"GO:0022600","GO:0022600","digestive system process","44/3041","91/18842",0.483516483516484,2.99586240789792,8.37253508012528,7.45052491152424e-13,1.68496486460625e-10,1.68496486460625e-10,"3315/362/150/4583/1582/2169/340547/6523/7429/4880/3274/1128/497189/948/5357/64240/9075/7032/3952/387129/1645/6779/4986/4762/4588/56667/64127/6518/7033/57482/115111/29881/5950/6662/7031/1131/64241/9843/64081/339221/3784/1056/6343/8856",44
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","43/3041","89/18842",0.48314606741573,2.99356731412272,8.27005559943908,1.40096959311453e-12,3.0510004472272e-10,3.0510004472272e-10,"8689/374454/196374/342574/3853/3851/51350/338785/8687/121391/8688/4747/54474/7062/3884/3857/3872/3866/3852/4741/3887/112802/9119/3888/3890/3885/667/192666/3860/1832/3854/3891/3881/286887/3848/3868/3882/5317/3883/3889/3861/3858/3850",43
"GO:0045103","GO:0045103","intermediate filament-based process","43/3041","90/18842",0.477777777777778,2.96030545507691,8.17784932143707,2.2658409184063e-12,4.75826592865323e-10,4.75826592865323e-10,"8689/374454/196374/342574/3853/3851/51350/338785/8687/121391/8688/4747/54474/7062/3884/3857/3872/3866/3852/4741/3887/112802/9119/3888/3890/3885/667/192666/3860/1832/3854/3891/3881/286887/3848/3868/3882/5317/3883/3889/3861/3858/3850",43
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","114/3041","377/18842",0.302387267904509,1.87358793221202,7.5165844893179,3.9179775440447e-12,7.94403722723546e-10,7.94403722723546e-10,"2625/930/7855/51311/7040/2529/28391/353091/10563/4851/27189/3553/64581/80328/1380/28467/712/6775/6375/127943/970/28414/722/3500/11006/729/50615/28394/28468/3662/3503/151888/913/2207/2213/920/28401/114836/9173/28410/28423/28458/3502/28457/2302/2208/735/30009/100423062/28439/3569/725/6363/28434/2214/59067/713/7704/57289/28466/5551/182/64005/28445/84766/28424/135250/3581/10859/3821/28454/5678/114548/3902/28400/91543/716/2209/28464/714/909/55540/90865/729230/10148/28388/2205/563/941/84174/3595/1604/102723169/28461/154064/84868/925/29126/6095/28408/28385/924/3592/718/3560/3824/8741/28442/2212/715/102723168/63976/4063/338322",114
"GO:0048729","GO:0048729","tissue morphogenesis","120/3041","408/18842",0.294117647058824,1.82234945934967,7.36706665976074,8.25819624069238e-12,1.61860646317571e-09,1.61860646317571e-09,"3084/140628/55966/2625/642658/8689/219736/2697/7040/342574/9788/4851/9241/3853/89870/81029/55036/441478/6496/80199/3678/94134/6664/3976/8642/8687/123872/7049/8688/54798/23616/55612/6299/3934/6862/4036/54474/64321/2348/1482/3884/7490/5293/2626/7080/8399/1436/3549/3857/3872/6469/4609/3866/5420/90102/65009/7124/43847/22943/8456/7134/343930/112802/65266/388585/2304/51676/64065/3670/186/3627/4321/1823/9955/4867/10413/3885/5076/192666/6662/6495/3860/121643/9353/55897/1832/183/960/655/388698/7137/6943/9024/3881/23242/7849/2138/116844/3237/4478/4070/3868/85474/407006/3882/57822/3883/153572/84446/5314/3861/8557/3673/3858/401720/10630/6591/9953/1839/6423",120
"GO:0007389","GO:0007389","pattern specification process","90/3041","277/18842",0.324909747292419,2.01313694787365,7.45209632501271,1.03099911158239e-11,1.9555725084208e-09,1.9555725084208e-09,"140628/23639/7855/115948/8701/4851/9241/7479/5649/4909/55036/4091/6496/1767/712/161582/57619/3205/123872/145788/497189/2066/27019/6862/219670/4188/4036/64321/2348/1482/7490/2626/53820/3549/6469/5991/2302/3216/146845/4762/5308/55502/1045/5460/3219/65009/22943/649/658/388585/54626/8313/51676/5523/3670/6997/10637/3213/80319/5076/3955/6495/121643/55897/3221/134701/50805/1832/79365/164781/25790/7482/55130/3222/92129/23242/7849/138162/3237/10409/3215/153572/3170/83538/718/8557/23432/148345/57453/27023",90
"GO:0050900","GO:0050900","leukocyte migration","107/3041","352/18842",0.303977272727273,1.88343958327105,7.34002651527632,1.26008729907997e-11,2.31541041205945e-09,2.31541041205945e-09,"2625/5473/8792/6366/2770/7040/131450/257144/2529/6352/6346/4856/10563/6356/719/6372/5795/3383/245937/6375/6280/124976/11240/6283/1511/2921/56477/1113/2838/5319/4323/6374/1803/920/2848/3952/7424/6441/57402/5293/1436/3579/2302/6355/30009/1234/1240/3569/6363/7124/117194/4283/1524/3655/51676/64065/2526/84830/6688/3627/56253/387695/146433/10164/64005/2813/30835/147409/9420/100130520/3384/56833/6279/10344/2059/57126/9353/5054/6351/6484/90865/729230/7535/11314/6370/1907/1800/7499/9023/4478/623/199/2859/3592/3674/64805/6367/718/6558/3673/1236/3679/6278/54210/6373/9518/27202",107
"GO:0070286","GO:0070286","axonemal dynein complex assembly","25/3041","39/18842",0.641025641025641,3.971787283198,8.14993882314391,2.10745154592967e-11,3.75509548183832e-09,3.75509548183832e-09,"23639/115948/146754/55036/1767/161582/123872/126820/27019/93233/56171/139212/85478/146562/92749/387885/201625/164781/352909/55130/8632/83538/51364/348807/79819",25
"GO:0003018","GO:0003018","vascular process in circulatory system","84/3041","255/18842",0.329411764705882,2.04103139447163,7.34255428152849,2.25792114042779e-11,3.90487538403395e-09,3.90487538403395e-09,"1636/7040/2852/6580/150/5029/134/54407/5021/5795/9498/6523/376497/222962/4880/388125/3274/6833/1373/2171/10991/2729/4035/948/489/5139/9153/4842/114134/54716/3952/4036/6567/387700/9590/4881/6566/3357/482/5028/4544/112/23576/3177/64849/4922/7124/2730/145741/6543/100506658/186/8140/154796/27134/6540/133/8714/81031/3643/9353/154/10057/183/10365/5138/152/155/857/124220/1907/147/8671/1401/553/6507/6513/6558/3363/84889/4879/10242/6528/5345",84
"GO:0015718","GO:0015718","monocarboxylic acid transport","65/3041","178/18842",0.365168539325843,2.26257994672066,7.4247942583744,2.90915990923468e-11,4.88738864751427e-09,4.88738864751427e-09,"4828/8792/1636/11001/7069/6580/9971/3553/2169/376497/123264/2167/646486/6539/9122/2171/1381/5468/80765/646480/5319/80736/948/9075/2173/28234/3952/6567/159963/1645/387700/222642/7351/8399/6566/6535/126969/5320/160728/7124/6578/26279/115111/6538/1813/6540/5948/8714/115072896/55867/64600/220963/2168/8529/80763/553/1109/6513/1066/2172/56923/391013/116362/10599/345274",65
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","65/3041","179/18842",0.363128491620112,2.24993983528647,7.37127807554649,3.85560214186661e-11,6.29748349838214e-09,6.29748349838214e-09,"3172/9370/1555/6580/5972/7367/3757/3553/79799/6283/1592/9447/9153/4842/2203/28234/1559/1645/64078/348158/6799/1565/54577/7345/4609/13/218/1571/407019/2902/9/54600/65266/2327/151531/54576/27233/23491/40/10715/54578/8714/6822/7364/2944/10057/5138/54658/116285/10/2329/29785/54905/1012/6095/8529/1577/2330/3784/7366/1572/10599/8856/27284/100",65
"GO:0048732","GO:0048732","gland development","78/3041","236/18842",0.330508474576271,2.04782659584548,7.10618989888028,9.68351824510413e-11,1.53889425084358e-08,1.53889425084358e-08,"54657/3084/2625/8854/2049/6928/7040/4939/2494/5021/55036/6496/7494/3717/3205/1373/247/123872/64220/3625/344167/7049/2066/6299/1482/7490/7351/7080/6927/1436/3549/54577/125981/6469/5618/5308/3569/26257/9076/7124/8456/2627/54600/2304/64065/54361/8140/54576/1396/6997/1813/54578/6658/5105/3664/6662/6495/3643/6715/55897/7473/54658/6943/23242/7849/857/4478/7448/761/5909/3321/3673/27023/190/3158/220/768239/3239",78
"GO:0009914","GO:0009914","hormone transport","87/3041","281/18842",0.309608540925267,1.91833085436168,6.8040821584157,3.70388173615739e-10,5.73126963384353e-08,5.73126963384353e-08,"6928/4828/3172/2697/2852/4602/6352/8447/4856/150/10050/222546/134/9971/3553/3767/6755/3717/6664/6804/25924/2692/6833/3976/10815/5468/116534/1113/6616/3625/3651/2781/6870/3952/6567/131177/7351/6927/6566/8989/5028/4544/3458/5991/4986/2798/640/3569/7124/9854/65266/8431/3670/8140/8622/1428/1813/5799/5950/111/51083/57393/183/84417/3623/114131/6863/389692/5578/152/9024/7849/114897/8938/84634/3589/4825/51085/3170/3784/222183/1588/6343/338442/10599/54097/2645",87
